The name of the function is: shuffle, args are: ('self',)
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
The name of the function is: deal, args are: ('self', 'temp_card', 'file')
